,pearson_corr,abs_corr
rank,-0.2649661464238186,0.2649661464238186
d3_accuracy,0.24331581380460515,0.24331581380460515
d3_evasion,-0.22519683914801014,0.22519683914801014
ttk_d3_to_atk,-0.21407264400300258,0.21407264400300258
ttk_a3_to_def,-0.21212128858943982,0.21212128858943982
d3_ex_length,-0.2084794093984211,0.2084794093984211
d3_max_hp,-0.20023433350586559,0.20023433350586559
d3_na_cost,-0.194529203344113,0.194529203344113
d3_min_dmg,0.19297960323930585,0.19297960323930585
a3_accuracy,0.18843907071057295,0.18843907071057295
d3_stability,0.18827738896676355,0.18827738896676355
a3_cc_res,0.1859494763579634,0.1859494763579634
d3_atk,0.1840787164984949,0.1840787164984949
a3_healing,-0.1833632134076087,0.1833632134076087
d3_n_range,0.1832086550024452,0.1832086550024452
d3_crit_res,-0.1814177246466143,0.1814177246466143
d3_recov_boost,-0.17309807581668454,0.17309807581668454
a3_max_hp,-0.17082175340667954,0.17082175340667954
a3_atk,0.17081512377980976,0.17081512377980976
d3_crit,0.16189242381271987,0.16189242381271987
d3_crit_dmg,0.15929461433905434,0.15929461433905434
d3_cc_res,0.1570847830642165,0.1570847830642165
d3_crit_dmg_res,-0.15385904812683135,0.15385904812683135
d3_affinity_indoor_dmg_mult,-0.15357918815433372,0.15357918815433372
d3_affinity_indoor_block_r,-0.15357918815433366,0.15357918815433366
a3_crit_dmg_res,-0.14844141480563144,0.14844141480563144
a3_crit_res,-0.14794628578339136,0.14794628578339136
a3_n_range,0.1464763872196678,0.1464763872196678
a3_crit_dmg,0.14279265221359222,0.14279265221359222
ds1_cc_power,-0.1367600426635902,0.1367600426635902
a2_ex_length,-0.13429218947334914,0.13429218947334914
a3_crit,0.13158978946008784,0.13158978946008784
a3_stability,0.12834752609232583,0.12834752609232583
a3_min_dmg,0.126108567913691,0.126108567913691
a4_crit_dmg,-0.12411656435789255,0.12411656435789255
diff_atk_mean_PARTIAL,0.12277693315454326,0.12277693315454326
a3_mag_count,-0.12267937896432506,0.12267937896432506
def_atk_mean_PARTIAL,-0.12143029353379808,0.12143029353379808
def_atk_sum_PARTIAL,-0.12143029353379797,0.12143029353379797
a3_evasion,-0.12054193388072706,0.12054193388072706
a3_dmg_reduction,-0.11979990718906385,0.11979990718906385
a3_def,-0.11858117760465173,0.11858117760465173
d4_healing,0.1181472337523241,0.1181472337523241
a3_ex_cost,-0.11771974698491267,0.11771974698491267
a3_na_cost,-0.11641645759230505,0.11641645759230505
diff_atk_sum_PARTIAL,0.11463738211252746,0.11463738211252746
def_crit_mean_FULL,0.11422692100566924,0.11422692100566924
def_crit_sum_FULL,0.11422692100566884,0.11422692100566884
ttk_avg_def_to_atk,-0.11356685871566985,0.11356685871566985
a4_crit_res,0.11255841634405785,0.11255841634405785
ttk_avg_atkS_to_def_str,-0.1122914363959378,0.1122914363959378
d4_crit,-0.1120836005383985,0.1120836005383985
a3_recov_boost,-0.10987911920265593,0.10987911920265593
d4_evasion,0.10932475675788417,0.10932475675788417
def_accuracy_mean_FULL,0.1092430207936981,0.1092430207936981
def_accuracy_sum_FULL,0.10924302079369788,0.10924302079369788
def_max_hp_mean_FULL,-0.10871050394452993,0.10871050394452993
def_max_hp_sum_FULL,-0.1087105039445299,0.1087105039445299
d4_atk,-0.10565414608806921,0.10565414608806921
a3_affinity_indoor_block_r,0.10552441257686968,0.10552441257686968
a3_affinity_indoor_dmg_mult,0.10552441257686955,0.10552441257686955
a4_max_hp,0.10517710171519047,0.10517710171519047
ttk_d4_to_atk,0.10375159344335513,0.10375159344335513
atk_evasion_sum,-0.10267314453918464,0.10267314453918464
atk_evasion_mean,-0.10267314453918153,0.10267314453918153
a4_n_range,-0.10253289062425874,0.10253289062425874
ttk_avg_atk_to_def,-0.10118349005015569,0.10118349005015569
d2_ex_cost,-0.10002831699799677,0.10002831699799677
d1_atk,-0.10002328674174028,0.10002328674174028
ttk_delta_specials,0.09915654061774622,0.09915654061774622
d2_mag_count,0.09783924042012788,0.09783924042012788
d4_def_piercing,-0.09733877353515089,0.09733877353515089
d2_healing,-0.09525498396794892,0.09525498396794892
d4_n_range,-0.09512312443314476,0.09512312443314476
ds1_atk,-0.09379225561252694,0.09379225561252694
a2_affinity_indoor_block_r,-0.09366918692215914,0.09366918692215914
a2_affinity_indoor_dmg_mult,-0.09366918692215907,0.09366918692215907
a4_accuracy,-0.09343103363896405,0.09343103363896405
